Project_ID,Project_Title,Current_IH_Business_Area,Updated_Business_Area,Intake_Hub_URL
17914,D40 Chilled Performance Drinks Cooler,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17914
17915,"Modernizing Previous Pay Week Hours Adjustment: Sunsetting old app, Launching new experience",People,People,https://hoops.wal-mart.com/intake-hub/projects/17915
17916,Modular Health CV/AR,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/17916
17919,Workforce Modernization,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17919
17920,Dunkin Donut Strategy,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17920
17921,ACC - Bay Configuration,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17921
17922,D46 Cosmetics Clearance Fixture Test,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17922
17923,Wet Wall Modular Shelving,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17923
17924,Walmart+ In-Store Perks - MS & Photo,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17924
17926,Predict HQ Improved Forecast Traffic Volume,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17926
17927,VIZIO In-Store Service Replacements and Walmart+ Refunds,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/17927
17928,Second Shift BOS Enhancements: Intraday Restocking,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17928
17929,mGPS Mapping,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/17929
17930,Store Agentic Platform,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/17930
17934,Faster Unscheduled Pickup for Customers (2 Hour Unscheduled Pickup in Supercenters),Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17934
17935,Backdoor Driver Access- Digital Key,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17935
17936,GMD in Regular Pick Walks Test (GMD in Regular Walks),Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17936
17939,Fresh Operating Model,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17939
17940,Gift Card OPD,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17940
17941,Pallet Pick up Optimization,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17941
17942,Home/Baby Vignette Ops Transition,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17942
17943,Area Operations - Fashion,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17943
17944,Fashion Digital Touring,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17944
17945,Men's Fashion Large Capacity Table Test,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17945
17946,Quality Check Removal,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17946
17947,Helium Balloon Inflation,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17947
17949,Smart Log Merchandise Decommission,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17949
17952,Digital Lock Padlock(Ulock) Full Store Pilot,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17952
17953,Beauty Operating Model - NHM Drawers,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17953
17954,Phone Number Capture on Staffed Lanes - CoSTL,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17954
17955,2026 NEXT/FET 5 Projects,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17955
17956,RFID GM Expansion - Toys,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/17956
17957,RFID GM Expansion - Hardware,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/17957
17958,Omni Ambassador Competition,Marketing,Marketing,https://hoops.wal-mart.com/intake-hub/projects/17958
17959,Project Retro,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17959
17960,DSD: Alive by 5 \| Mondelez,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17960
17961,DSD: Mondelez Cart Rollout,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17961
17962,Checkout Anywhere,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/17962
17963,DSD: Steel Extenders (Topstock Soda Aisle),Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17963
17964,DSD: Delivery Day Optimization,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17964
17966,Digital Lock Integration into GIF (InVue and GIF Integration),Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17966
17967,Age Restriction in GIF for Alcohol and Ammunition Orders,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17967
17968,DSD Sunday Delivery,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17968
17969,FZ Seafood Pushers,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17969
17970,MyWalmart 2.0 Proof of Concept Test,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17970
17971,DSD: Coke CFO Ordering,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17971
17974,OnePay Credit Card - FY27 Op Plan,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17974
17975,Overnight Deliveries (Coke),Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17975
17976,Firefly - Pallet Tracking - Wrong Pallet Wrong Store,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17976
17977,Tire Binding,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17977
17978,Walmart Milk Plant Texas,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17978
17979,Comp Shop App- Internal,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17979
17980,ACC: Predictive Wait Time Model,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17980
17981,DSD - Delivery Notifications – Pepsi,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/17981
17982,ACC: Digitizing Slots Test,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17982
17983,D11 Project Boards/Lumber,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17983
17984,Wing Drone Integration,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17984
17985,Clearance Signage Test,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17985
17986,Fashion Spark Shopper Staging,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17986
17988,Safety Agent,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/17988
17989,ACC - Lockerless Check In,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17989
17990,Feature Agent MyWalmart Experiment POC,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/17990
17992,Body Worn Cameras for Dispensers,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17992
17993,Workstation Removal - Phase 1,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17993
17994,Uber Batching,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/17994
17995,Family Swim,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17995
17996,2026 SCO Refresh,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17996
17997,Kacee Musgraves x Lee Merchandising Collection,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/17997
17998,RFID GM Expansion - Lawn & Garden D16,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/17998
17999,AP Aisle to SCO Concealment Pilot,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/17999
18000,DSD - Priority Pass - Frito Lay,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18000
18001,Ice House America Vending Solution,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18001
18002,DSD - Delivery Notifications – KDP,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18002
18003,Manufacturer Offers (Coupons) Paper Label Test,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/18003
18004,ACC 911 App,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18004
18005,DSD - Delivery Notifications - Seasonal McLane,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18005
18006,Mod Health - Shelf Optix Scanning,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18006
18007,SWAS Planning Tool,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18007
18008,UTF - Order Mileage Warranty Replacement Tires,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18008
18009,Order 3P Tires in Store,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18009
18010,Expired Order Dashboard,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18010
18011,Fashion Legacy Elevation - POC and Test,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/18011
18012,Multi Scan for BYOD Devices,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18012
18014,Fight Hunger Spark Change Operative Incentive,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18014
18015,Live Pinpoint,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18015
18016,PSP: VizPick Backroom,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18016
18017,Multi-Stop: Palletized RDC Deliveries,Supply Chain,Supply Chain,https://hoops.wal-mart.com/intake-hub/projects/18017
18018,XY Pick Path Routing Test,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18018
18019,Stocking Operating Model,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18019
18020,Connected Associate Devices - Google Pixel 9a,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18020
18021,Switch Store,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18021
18022,GIF In App Training Phase 2,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18022
18023,Maximize profit in non-ACC stores / reduce markdowns,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18023
18024,Egg Signage KVI,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18024
18025,Fresh Turkey CVP,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18025
18026,Floral Fixture Signage,Marketing,Marketing,https://hoops.wal-mart.com/intake-hub/projects/18026
18028,DSD Milk - Overnight Delivery Pilot,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18028
18029,Florida Hunting/Fishing License Equipment,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18029
18031,CFT Reduction-Store Mgr Credit Cards,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18031
18032,Spill Kits for OPD Carts,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18032
18033,9 Tote Cart,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18033
18034,8 Pick Cart Redesign,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18034
18035,Returns Drop-Off POC,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18035
18036,Rollback To Light,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18036
18037,Sierra IVR Test,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18037
18038,Route Right,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18038
18039,DSD - Priority Pass – Pepsi Beverage,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18039
18040,On Demand ASL access - Badge backer,People,People,https://hoops.wal-mart.com/intake-hub/projects/18040
18041,InHome 3rd Slot (Test),Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18041
18042,Exception Management Update: Manual Sub Approvals Removed (Exception Management),Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18042
18043,Digital Locks Refresher,E2E Strategy,E2E Strategy,https://hoops.wal-mart.com/intake-hub/projects/18043
18044,One Scan Dispense,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18044
18045,IMS/WCS Integration,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18045
18046,Scheduling Tool - Fulfillment Sidekick,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18046
18047,Work Hard Play Hard,Merchandising,Merchandising,https://hoops.wal-mart.com/intake-hub/projects/18047
18048,3P From Store,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18048
18049,Tour Guides Development Platform & Lifecycle Management,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18049
18050,DSD: Topstock and Vizpick,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18050
18051,DSD: Mondelez Cart Vizpick & Topstock,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18051
18053,Hurricone Safety Cone,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/18053
18054,Preorder Commodity Launch in GIF,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18054
18055,Updated Ball Rack in Toys,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18055
18056,NHM Cake Decorating,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18056
18058,OAI Phase 1 Launch,People,People,https://hoops.wal-mart.com/intake-hub/projects/18058
18059,W+ ACC In-Store Perks,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18059
18060,CHEP - Feature Pallet Tracking,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18060
18061,Manual Pallet Jack Foot Guard,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/18061
18062,DSD MyWalmart Credit Invoice,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18062
18063,Removal of Minimum Order Fee-Test,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18063
18064,Modular Condense,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18064
18065,Mobile Calling Escalation Framework,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18065
18066,Dedicated Delivery Vans (GMD),Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18066
18067,Vision Center After-Hours Failed Contact Lens Returns – Process Standardization,Health & Wellness,Health & Wellness,https://hoops.wal-mart.com/intake-hub/projects/18067
18068,Emergency App Update: Facility Open/Close SMS Alerts,Safety,Safety,https://hoops.wal-mart.com/intake-hub/projects/18068
18069,Firefly - Internalized Parcel Tracking,Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18069
18070,ACC Ops Model,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18070
18071,VizPick Backroom: Feature Integration,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18071
18072,DSD: CAP Decommission,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18072
18073,Texas SB650 (ScanID),Compliance,Compliance,https://hoops.wal-mart.com/intake-hub/projects/18073
18074,Scan N Go / Spark Shopper FE Capacity,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18074
18075,Self-Checkout Lockers (ACC of the Future),Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18075
18076,Oil Package Optimization,Operations Strategy & Support,Operations Strategy & Support,https://hoops.wal-mart.com/intake-hub/projects/18076
18077,Customer Control (IP + GMD),Store Fulfillment,Store Fulfillment,https://hoops.wal-mart.com/intake-hub/projects/18077
18078,Tax Modernization,Transformation Strategy,Transformation Strategy,https://hoops.wal-mart.com/intake-hub/projects/18078
18079,Customer Order Score,Marketing,Marketing,https://hoops.wal-mart.com/intake-hub/projects/18079
